నమస్తే,False,none,telugu
ధన్యవాదాలు,False,none,telugu
సంతోషం,False,none,telugu
ప్రేమ,False,none,telugu
మనసు,False,none,telugu
ఆనందం,False,none,telugu
శాంతి,False,none,telugu
బంధం,False,none,telugu
వినయం,False,none,telugu
స్నేహం,False,none,telugu
బావొచ్చు,False,none,telugu
మనం,False,none,telugu
తినండి,False,none,telugu
చదువు,False,none,telugu
పాఠశాల,False,none,telugu
గురువు,False,none,telugu
విద్య,False,none,telugu
సత్యం,False,none,telugu
ధర్మం,False,none,telugu
ఆరాధన,False,none,telugu
దయ,False,none,telugu
మంచితనము,False,none,telugu
మాతృభూమి,False,none,telugu
భాష,False,none,telugu
పెద్దలు,False,none,telugu
కుటుంబం,False,none,telugu
చెల్లి,False,none,telugu
అక్క,False,none,telugu
మిత్రుడు,False,none,telugu
అన్నం,False,none,telugu
నీళ్లు,False,none,telugu
చెట్టు,False,none,telugu
కల,False,none,telugu
దారి,False,none,telugu
సహాయం,False,none,telugu
ఉపకారం,False,none,telugu
కలిసిమెలిసి,False,none,telugu
మాట,False,none,telugu
చిరునవ్వు,False,none,telugu
నవ్వు,False,none,telugu
కలిసికట్టుగా,False,none,telugu
పని,False,none,telugu
చాకచక్యంగా,False,none,telugu
సమయం,False,none,telugu
వెన్నెల,False,none,telugu
తెలుగు,False,none,telugu
పుస్తకం,False,none,telugu
కలాలు,False,none,telugu
స్వప్నం,False,none,telugu
పాట,False,none,telugu
సినిమా,False,none,telugu
కథ,False,none,telugu
పుస్తకాలు,False,none,telugu
వాక్యం,False,none,telugu
పాఠం,False,none,telugu
సాహిత్యం,False,none,telugu
సంగీతం,False,none,telugu
నాటకం,False,none,telugu
కళ,False,none,telugu
పండగ,False,none,telugu
సంస్కృతి,False,none,telugu
సాంప్రదాయం,False,none,telugu
ప్రకృతి,False,none,telugu
ఆత్మీయుడు,False,none,telugu
కవిత,False,none,telugu
సంఘం,False,none,telugu
ఆహారం,False,none,telugu
పలుకుబడి,False,none,telugu
బుద్ధిమంతుడు,False,none,telugu
నమ్రమైన,False,none,telugu
శుభాకాంక్షలు,False,none,telugu
కల్పన,False,none,telugu
శ్రద్ధ,False,none,telugu
ప్రయత్నం,False,none,telugu
అభ్యాసం,False,none,telugu
విజయం,False,none,telugu
లక్ష్యం,False,none,telugu
స్ఫూర్తి,False,none,telugu
ఉపదేశం,False,none,telugu
ప్రశ్న,False,none,telugu
సమాధానం,False,none,telugu
మాటలాడు,False,none,telugu
తెలివి,False,none,telugu
ఆలోచన,False,none,telugu
శక్తి,False,none,telugu
నాయకత్వం,False,none,telugu
ప్రగతి,False,none,telugu
ధైర్యం,False,none,telugu
ఓర్పు,False,none,telugu
సహనం,False,none,telugu
నమ్మకం,False,none,telugu
సూపర్,False,none,telugu
చాలా బాగుంది,False,none,telugu
వావ్,False,none,telugu
దయచేసి,False,none,telugu
చిన్నమ్మ,False,none,telugu
అద్భుతం,False,none,telugu
దీవెనలు,False,none,telugu
పవర్‌ఫుల్,False,none,telugu
సంతోషంగా ఉంది,False,none,telugu
వెరీ నైస్,False,none,telugu
మంచి పని,False,none,telugu
చాలా హ్యాపీ,False,none,telugu
ఎవ్వాలా,False,none,telugu
ప్యూర్ లవ్,False,none,telugu
సింపుల్‌గా,False,none,telugu
చక్కగా ఉంది,False,none,telugu
రియల్ ఫీల్,False,none,telugu
బాగా ఉంది,False,none,telugu
జయహో,False,none,telugu
గమనించండి,False,none,telugu
గుర్తించండి,False,none,telugu
ధన్యమైన,False,none,telugu
రాణి,False,none,telugu
చుట్టు,False,none,telugu
ఇష్టం,False,none,telugu
మీతో ఉంటాను,False,none,telugu
సహాయం చేయండి,False,none,telugu
మీరు శక్తివంతులు,False,none,telugu
చక్కగా,False,none,telugu
ఫ్రెండ్,False,none,telugu
లవ్,False,none,telugu
వివాహం,False,none,telugu
హ్యాపీ,False,none,telugu
లైఫ్,False,none,telugu
ఎలివేట్,False,none,telugu
గెలిచారు,False,none,telugu
ఆనందకరమైన,False,none,telugu
మోసాలు,False,none,telugu
మనం కలిసి,False,none,telugu
మిమ్మల్ని,False,none,telugu
ధన్యవాదములు,False,none,telugu
పోల్చుకోండి,False,none,telugu
అలసిపోతున్నా,False,none,telugu
నవచైతన్యం,False,none,telugu
సాధించండి,False,none,telugu
దేవుడు,False,none,telugu
దేవుడ,False,none,telugu
namaste,False,none,tenglish
dhanyavaadalu,False,none,tenglish
santhosham,False,none,tenglish
prema,False,none,tenglish
manasu,False,none,tenglish
anandam,False,none,tenglish
shanti,False,none,tenglish
bandham,False,none,tenglish
vinayamu,False,none,tenglish
snehitham,False,none,tenglish
baavocchu,False,none,tenglish
neenu,False,none,tenglish
manam,False,none,tenglish
ame,False,none,tenglish
tinandandi,False,none,tenglish
chadavu,False,none,tenglish
pathashala,False,none,tenglish
vidya,False,none,tenglish
sathyam,False,none,tenglish
dharmam,False,none,tenglish
aaradhana,False,none,tenglish
daya,False,none,tenglish
manchithanam,False,none,tenglish
matrubhoomi,False,none,tenglish
bhasha,False,none,tenglish
peddalu,False,none,tenglish
kutumbam,False,none,tenglish
chelli,False,none,tenglish
mitrudu,False,none,tenglish
annam,False,none,tenglish
neellu,False,none,tenglish
chettu,False,none,tenglish
daari,False,none,tenglish
sahaayam,False,none,tenglish
upakaaram,False,none,tenglish
kalisimelisi,False,none,tenglish
maat,False,none,tenglish
chirunavvu,False,none,tenglish
navvu,False,none,tenglish
kalisikattuga,False,none,tenglish
pani,False,none,tenglish
chaakachakyanga,False,none,tenglish
samayam,False,none,tenglish
vennela,False,none,tenglish
pustakam,False,none,tenglish
kalaalu,False,none,tenglish
swapnam,False,none,tenglish
paata,False,none,tenglish
cinema,False,none,tenglish
katha,False,none,tenglish
pustakalu,False,none,tenglish
vaakyam,False,none,tenglish
paatham,False,none,tenglish
saahityam,False,none,tenglish
sangeetham,False,none,tenglish
natakam,False,none,tenglish
pandaga,False,none,tenglish
samskruthi,False,none,tenglish
saampradayam,False,none,tenglish
prakruthi,False,none,tenglish
aathmiyudu,False,none,tenglish
kavita,False,none,tenglish
sangham,False,none,tenglish
aaharam,False,none,tenglish
palukubadi,False,none,tenglish
buddhimantudu,False,none,tenglish
