నమస్తే,False,none
ధన్యవాదాలు,False,none
సంతోషం,False,none
ప్రేమ,False,none
మనసు,False,none
ఆనందం,False,none
శాంతి,False,none
బంధం,False,none
వినయం,False,none
స్నేహం,False,none
బావొచ్చు,False,none
మనం,False,none
తినండి,False,none
చదువు,False,none
పాఠశాల,False,none
గురువు,False,none
విద్య,False,none
సత్యం,False,none
ధర్మం,False,none
ఆరాధన,False,none
దయ,False,none
మంచితనము,False,none
మాతృభూమి,False,none
భాష,False,none
పెద్దలు,False,none
కుటుంబం,False,none
చెల్లి,False,none
అక్క,False,none
మిత్రుడు,False,none
అన్నం,False,none
నీళ్లు,False,none
చెట్టు,False,none
కల,False,none
దారి,False,none
సహాయం,False,none
ఉపకారం,False,none
కలిసిమెలిసి,False,none
మాట,False,none
చిరునవ్వు,False,none
నవ్వు,False,none
కలిసికట్టుగా,False,none
పని,False,none
చాకచక్యంగా,False,none
సమయం,False,none
వెన్నెల,False,none
తెలుగు,False,none
పుస్తకం,False,none
కలాలు,False,none
స్వప్నం,False,none
పాట,False,none
సినిమా,False,none
కథ,False,none
పుస్తకాలు,False,none
వాక్యం,False,none
పాఠం,False,none
సాహిత్యం,False,none
సంగీతం,False,none
నాటకం,False,none
కళ,False,none
పండగ,False,none
సంస్కృతి,False,none
సాంప్రదాయం,False,none
ప్రకృతి,False,none
ఆత్మీయుడు,False,none
కవిత,False,none
సంఘం,False,none
ఆహారం,False,none
పలుకుబడి,False,none
బుద్ధిమంతుడు,False,none
నమ్రమైన,False,none
శుభాకాంక్షలు,False,none
కల్పన,False,none
శ్రద్ధ,False,none
ప్రయత్నం,False,none
అభ్యాసం,False,none
విజయం,False,none
లక్ష్యం,False,none
స్ఫూర్తి,False,none
ఉపదేశం,False,none
ప్రశ్న,False,none
సమాధానం,False,none
మాటలాడు,False,none
తెలివి,False,none
ఆలోచన,False,none
శక్తి,False,none
నాయకత్వం,False,none
ప్రగతి,False,none
ధైర్యం,False,none
ఓర్పు,False,none
సహనం,False,none
నమ్మకం,False,none
సూపర్,False,none
చాలా బాగుంది,False,none
వావ్,False,none
దయచేసి,False,none
చిన్నమ్మ,False,none
అద్భుతం,False,none
దీవెనలు,False,none
పవర్‌ఫుల్,False,none
సంతోషంగా ఉంది,False,none
వెరీ నైస్,False,none
మంచి పని,False,none
చాలా హ్యాపీ,False,none
ఎవ్వాలా,False,none
ప్యూర్ లవ్,False,none
సింపుల్‌గా,False,none
చక్కగా ఉంది,False,none
రియల్ ఫీల్,False,none
బాగా ఉంది,False,none
జయహో,False,none
గమనించండి,False,none
గుర్తించండి,False,none
ధన్యమైన,False,none
రాణి,False,none
చుట్టు,False,none
ఇష్టం,False,none
మీతో ఉంటాను,False,none
సహాయం చేయండి,False,none
మీరు శక్తివంతులు,False,none
చక్కగా,False,none
ఫ్రెండ్,False,none
లవ్,False,none
వివాహం,False,none
హ్యాపీ,False,none
లైఫ్,False,none
ఎలివేట్,False,none
గెలిచారు,False,none
ఆనందకరమైన,False,none
మోసాలు,False,none
మనం కలిసి,False,none
మిమ్మల్ని,False,none
ధన్యవాదములు,False,none
పోల్చుకోండి,False,none
అలసిపోతున్నా,False,none
నవచైతన్యం,False,none
సాధించండి,False,none
దేవుడు,False,none
దేవుడ,False,none
namaste,False,none
dhanyavaadalu,False,none
santhosham,False,none
prema,False,none
manasu,False,none
anandam,False,none
shanti,False,none
bandham,False,none
vinayamu,False,none
snehitham,False,none
baavocchu,False,none
neenu,False,none
manam,False,none
ame,False,none
tinandandi,False,none
chadavu,False,none
pathashala,False,none
vidya,False,none
sathyam,False,none
dharmam,False,none
aaradhana,False,none
daya,False,none
manchithanam,False,none
matrubhoomi,False,none
bhasha,False,none
peddalu,False,none
kutumbam,False,none
chelli,False,none
mitrudu,False,none
annam,False,none
neellu,False,none
chettu,False,none
daari,False,none
sahaayam,False,none
upakaaram,False,none
kalisimelisi,False,none
maat,False,none
chirunavvu,False,none
navvu,False,none
kalisikattuga,False,none
pani,False,none
chaakachakyanga,False,none
samayam,False,none
vennela,False,none
pustakam,False,none
kalaalu,False,none
swapnam,False,none
paata,False,none
